visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status,drop_reason
v1315,loo choo,Loo Choo,1824,1824,year,Refugio,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Refugio 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Refugio 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1316,loo choo,Loo Choo,1824,1824,year,Bodega,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Bodega 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Bodega 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1317,loo choo,Loo Choo,1824,1824,year,San Blas,baja,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Blas 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Blas 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1318,loo choo,Loo Choo,1824,1824,year,Farallones,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Farallones 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Farallones 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1319,loo choo,Loo Choo,1824,1824,year,Loreto,baja,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Loreto 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Loreto 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1320,loo choo,Loo Choo,1824,1824,year,San Luis Obispo,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Luis Obispo 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Luis Obispo 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1321,loo choo,Loo Choo,1824,1824,year,Santa Catalina I.,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Santa Catalina I. 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Santa Catalina I. 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1322,loo choo,Loo Choo,1824,1824,year,San Quintín,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Quintín 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Quintín 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1323,loo choo,Loo Choo,1824,1824,year,San Simeón,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Simeón 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Simeón 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1324,loo choo,Loo Choo,1824,1824,year,Trinidad,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Trinidad 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Trinidad 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v2101,loo choo,Loo Choo,1847,1847,year,Santa Bárbara,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Santa Bárbara 1847","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Santa Bárbara 1847""}]",,draft,Ogden-appendix parse artifact (2026-08-04): port not in the Loo Choo's actual 1847 schedule (SF / San Pedro / San Diego only) — a stray line from a swallowed neighboring entry (class 5)
v2102,loo choo,Loo Choo,1847,1847,year,Monterey,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Monterey 1847","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Monterey 1847""}]",,draft,Ogden-appendix parse artifact (2026-08-04): port not in the Loo Choo's actual 1847 schedule (SF / San Pedro / San Diego only) — a stray line from a swallowed neighboring entry (class 5)
v2103,loo choo,Loo Choo,1847,1847,year,San Blas,baja,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Blas 1847","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Blas 1847""}]",,draft,Ogden-appendix parse artifact (2026-08-04): port not in the Loo Choo's actual 1847 schedule (SF / San Pedro / San Diego only) — a stray line from a swallowed neighboring entry (class 5)
